日期,測站,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/04/05,龍潭,28.54583,65.20833,25.375,0,72.33333,3.64583,222.54167,237.33333,1.75833,1.35417,27.04167,0.37042,2.9125,11.275
2015/04/06,龍潭,14.22917,31.27083,58.75,25.04167,0,67.41667,3.25833,208.60417,228.33333,1.725,1.275,25.95833,0.35958,3.42917
2015/04/07,龍潭,11.52083,15.04583,29.82174,63.04167,22.625,0,74.75,3.14167,154.88333,172.16667,2.17917,1.3,18.20833,0.38875
2015/04/08,龍潭,1.61429,11.59524,13.18571,38.33333,32.75,8.125,0.2,84.375,3.00833,54.375,54.20833,5.4875,5.0875,14.5
2015/04/08,龍潭,0.275,4.1375,9.19167,13.2625,42.41667,25.29167,9.69565,0.4,83.58333,2.02917,57.375,57.41667,5.66667,5.44167
2015/04/09,龍潭,16.125,0.37652,2.64444,14.96667,17.76667,36.26087,32.77273,13.43478,0.91429,88.66667,2.47391,54.29167,54.125,2.94583
2015/04/10,龍潭,2.8375,16.29167,0.35208,2.86667,16.5875,19.4,37.29167,26.875,10.58333,0.67273,90.79167,3.275,55.70833,57.04167
2015/04/11,龍潭,3.48333,3.225,14.70833,0.36958,3.30833,14.30833,17.6,45.125,34.33333,17.69565,1.69524,91.20833,2.72917,52.125
2015/04/12,龍潭,50.75,3.44583,3.1375,16.75,0.46708,1.64167,16.85417,18.52083,36.5,32.91667,14.375,0.225,92.625,2.22917
2015/04/13,龍潭,77.25,89.875,1.30417,1.0375,18.25,0.65125,2.77,28.25,30.9,35.25217,64.78261,31.04348,0.2,73.66667
2015/04/14,龍潭,2.76087,87.58333,82.10417,1.7375,1.49167,17.58333,0.40875,0.80417,16.69167,17.4875,47.83333,62.95833,25.54167,0
2015/04/15,龍潭,55.125,2.67917,239.91667,227.375,2.54167,2.31667,19.79167,0.38167,1.79583,14.55,16.4125,60.29167,48.33333,22.41667
2015/04/16,龍潭,0,46.79167,2.63333,207.54167,213.70833,1.7875,1.49583,22.90476,0.47095,2.46667,15.14286,17.55714,52.41429,67.59091
2015/04/17,龍潭,28.63636,0,66.0,3.13333,215.2381,203.72727,2.08636,1.94762,22.41667,0.57208,4.19167,22.90833,27.21667,34.73333
2015/04/18,龍潭,94.75,42.45833,0,75.41667,3.44583,186.30833,204.33333,1.5125,1.1625,24.79167,0.36792,1.75417,10.86667,12.675
2015/04/19,龍潭,30.66667,66.70833,34.45833,0.5,79.20833,1.5875,200.79167,195.375,2.56667,2.32917,27.16667,0.28208,3.03333,9.2375
2015/04/20,龍潭,12.25417,23.09167,41.70833,15.54167,0.7,67.45833,2.74167,240.25,240.70833,4.5125,4.225,26.0,0.26773,4.10909
2015/04/21,龍潭,7.64091,11.64091,27.40909,39.95652,12.6087,3.1,65.79167,2.16957,219.04167,221.04167,5.64583,5.4375,17.41667,0.41917
2015/04/22,龍潭,3.75417,14.61667,18.44583,43.41667,46.25,24.0,4.6,87.95833,4.49167,57.33333,56.83333,3.37083,3.15,18.375
2015/04/22,龍潭,0.30417,3.40417,12.07917,15.47917,46.29167,39.66667,14.58333,0.4,80.29167,3.71667,57.58333,58.16667,3.87917,3.91667
2015/04/23,龍潭,21.79167,0.52083,4.4375,18.15417,22.55833,40.875,41.95833,14.58333,0,74.75,2.72917,65.125,65.83333,1.68333
2015/04/24,龍潭,1.50833,22.5,0.5025,4.04583,17.24167,21.25,36.30833,54.04167,21.58333,0,80.625,3.09583,137.825,134.75
2015/04/25,龍潭,2.16667,1.56667,21.95833,0.28958,0.90833,9.27083,10.19167,52.16667,52.70833,16.75,0,71.91667,1.7125,58.29167
2015/04/26,龍潭,59.875,4.0625,3.92083,23.875,0.40125,2.34286,12.87619,15.13333,53.16667,54.70833,25.25,0,70.08333,2.72083
2015/04/27,龍潭,143.79167,157.34583,1.76667,1.36667,25.125,0.42708,1.40833,12.8625,14.27917,44.95833,69.875,29.70833,0,72.75
2015/04/28,龍潭,1.9875,222.625,225.125,1.875,1.62917,24.95833,0.4175,2.63636,12.85909,15.39091,30.29167,56.83333,28.83333,0
2015/04/29,龍潭,75.08333,4.09583,252.75,246.25,2.7875,2.62083,25.0,0.37208,2.43333,12.46667,14.82083,24.0125,51.04167,24.75
